Unnamed: 0,Sleep_Time,Wakeup_Time,Breakfast_Type,Meditation_Exercise_Minutes,Mood,Resting_Heart_Rate,Step_Count,HRV,Temperature_Celsius,Humidity_Percent
634,10.35,5.5,Skipped,70,Happy,72,5642,23.04636863089601,12.6793002834944,54.81294609152109
152,10.35,5.75,Skipped,55,Happy,64,2929,35.94922625413583,13.622371802280576,86.34406191077377
615,10.35,9.75,Light,45,Neutral,59,8474,68.6130485214924,33.02181001329533,30.45377249868853
633,10.35,9.0,Carb-rich,35,Happy,60,10988,37.07083633124802,23.30283713163289,46.35744004401202
679,10.35,4.5,Protein-rich,70,Neutral,65,8689,46.54964074290723,31.637678147349508,62.8018447628442
111,10.35,6.75,Skipped,50,Neutral,76,9461,102.29838050417676,14.030532181350113,89.26008047979883
226,10.35,6.25,Carb-rich,25,Happy,79,10017,70.01127520766269,34.325263868811135,35.21920559468461
621,10.35,4.75,Light,20,Happy,74,9866,110.84345518793752,15.233733083417755,86.06616160833086
103,10.35,4.75,Skipped,60,Sad,62,11428,65.89405165968203,22.71426727911757,73.93349318457368
421,10.35,7.0,Protein-rich,85,Happy,75,10859,72.7677466221695,29.740453569863845,39.5726808067913
419,10.35,4.75,Skipped,35,Neutral,59,7951,112.91395200154628,28.809363235942,33.62112503943383
586,10.35,5.0,Light,25,Happy,65,11915,102.5710951560667,11.8965832027166,53.77036149655533
119,10.35,9.0,Heavy,30,Sad,72,6020,26.84587193335781,23.48355604789127,32.03675871514793
53,10.35,7.0,Protein-rich,0,Sad,62,8246,47.109625376406576,32.37068376069122,84.8647167554976
151,10.35,5.25,Carb-rich,35,Neutral,62,8468,46.023659798522935,15.98904726667431,61.73622804163272
403,10.35,8.0,Heavy,55,Neutral,69,6945,23.89380166876656,30.661436652693546,62.47778011806423
846,10.35,4.0,Skipped,60,Sad,57,3293,61.31725172077195,12.133741701966096,31.151536609383403
207,10.35,7.25,Heavy,70,Sad,58,6857,55.42713272172156,26.5875442277014,75.49430854224548
757,10.35,9.5,Carb-rich,20,Neutral,80,5156,76.6605258905463,23.33652729940804,48.33145863948141
685,10.35,6.0,Heavy,60,Happy,74,11171,108.48551176960044,23.91907232534825,38.18638515340399
8,10.35,7.75,Heavy,15,Neutral,74,11836,87.1479148667207,25.02787529358022,45.56540600587755
802,10.35,8.75,Light,50,Neutral,63,5854,100.5714525668218,24.40720900417033,48.70896798511558
36,10.35,9.0,Light,20,Sad,71,4866,80.3637200559375,17.61534422933427,31.103440592848003
452,10.35,7.75,Heavy,80,Happy,56,3316,80.9697425152616,20.605550231174405,56.31692515137543
253,10.35,4.75,Heavy,50,Neutral,71,6761,73.56565993475786,17.923050128906944,70.80844630561802
303,10.35,9.5,Light,50,Sad,70,7929,78.3713587731364,25.935747537455164,49.41661314897247
688,10.35,8.5,Skipped,60,Sad,56,11821,48.16160421056317,29.23732332979842,55.69197689553688
571,10.35,4.75,Skipped,0,Sad,67,2025,37.549162738135735,29.59132531852857,74.30695255507959
623,10.35,4.5,Skipped,70,Happy,80,7451,66.62994129398189,22.11307462977553,36.08524970695299
640,10.35,7.5,Protein-rich,35,Happy,65,7366,70.98540095504578,10.50177994444316,72.54277570334597
649,10.35,6.25,Carb-rich,55,Happy,76,5667,64.90387679301259,22.46105497322643,67.98908253564134
262,10.35,8.0,Carb-rich,20,Neutral,60,4454,105.49740195614744,13.5021003809131,50.10713125554851
610,10.35,7.5,Light,75,Happy,60,7637,95.02657639388424,10.982803496027474,78.7791443229656
297,10.35,9.75,Light,55,Happy,68,5420,20.5313475668346,15.39552568742108,88.13267131714149
414,10.35,7.5,Skipped,15,Happy,80,11009,90.73970000329275,25.795930304244983,57.13909707109801
150,10.35,7.75,Skipped,75,Happy,69,10767,85.5173714524338,32.70664714916634,82.48210036105196
709,10.35,8.75,Light,5,Happy,60,7520,79.52128341268747,27.037568055598232,62.40071487627064
795,10.35,9.25,Light,65,Happy,78,4800,77.76317543444226,31.803097723603788,34.09033856312961
550,10.35,6.5,Carb-rich,55,Neutral,58,10835,51.38754967224705,23.004087527799832,59.83048584050564
488,10.35,4.75,Carb-rich,55,Neutral,82,5220,104.73879305713736,33.76028710191397,88.18926270471269
147,10.35,9.5,Skipped,15,Happy,69,3442,30.53932181078052,22.56697558072154,31.464046893392283
146,10.35,8.75,Protein-rich,25,Happy,66,4011,112.71106288584274,25.23910834949742,43.97756848521803
650,10.35,9.5,Protein-rich,40,Neutral,57,7973,43.74785567522575,12.173007202185593,87.08420053239942
832,10.35,5.75,Protein-rich,30,Sad,75,9106,81.27958355365104,13.521425509494996,61.6224878346991
665,10.35,7.5,Light,65,Neutral,56,5638,76.57815548409963,13.8214784796083,55.42429521892577
348,10.35,6.25,Skipped,20,Sad,78,7242,39.09265850716435,19.36531536566178,85.2508708689412
463,10.35,5.75,Carb-rich,25,Happy,68,9935,112.13075122129754,24.58421912742899,67.89361320555123
325,10.35,9.75,Heavy,25,Neutral,64,11959,91.6397111958099,28.447422917394213,68.31155685984513
186,10.35,4.0,Light,65,Happy,66,2785,105.87642793494722,30.4305550050304,66.80468335264246
123,10.35,5.75,Heavy,35,Happy,69,4242,73.83319432557134,12.751298113191918,88.26349470992207
764,10.35,7.0,Light,25,Neutral,68,5109,100.0980700403365,10.838310868394483,89.52948088939877
608,10.35,7.0,Heavy,25,Sad,58,3757,99.25948132091348,22.58543177137142,66.47430556760668
143,10.35,6.0,Carb-rich,60,Happy,83,5273,70.26312426301305,17.521957745419243,67.55348258622055
858,10.35,7.25,Light,65,Neutral,66,3476,75.70405132750352,24.12102833156541,36.584171920650206
197,10.35,6.75,Carb-rich,90,Happy,73,5236,20.199213521907023,32.42775649881443,41.18629572865527
609,10.35,9.0,Skipped,20,Neutral,82,7085,82.7328935090678,27.25987071573413,75.8929956925277
279,10.35,6.25,Heavy,40,Neutral,81,5119,100.38145451934469,29.894816735902527,62.47599472056662
293,10.35,6.25,Heavy,75,Sad,81,10182,20.83636818768571,19.00476603528157,67.25493106604863
400,10.35,4.75,Light,20,Sad,81,7585,96.43533864364274,12.578096720898316,31.89516868953852
122,10.35,4.75,Carb-rich,80,Neutral,75,3474,78.4448909757426,17.950086874296595,85.46377172259182
183,10.35,6.25,Heavy,40,Neutral,80,10315,105.88167711681548,31.933483834524527,82.74709845372988
202,10.35,6.5,Skipped,30,Sad,59,7498,28.355433751068976,14.040717852365344,83.02715309780554
438,10.35,4.5,Protein-rich,50,Happy,55,9094,89.71358058918092,27.65605567891241,34.33190453875055
246,10.35,8.0,Protein-rich,55,Sad,56,2475,67.42550209769536,20.704603707932858,77.8455612964157
415,10.35,7.25,Light,35,Neutral,66,8056,58.92304716917885,21.211138049458,68.6146617117915
794,10.35,7.25,Skipped,45,Sad,55,7754,45.28581182501112,10.452754595521013,52.05206533749188
129,10.35,7.25,Carb-rich,40,Sad,77,2359,65.43454230676551,22.768682564439143,79.73492844904064
637,10.35,6.5,Protein-rich,5,Happy,82,4895,71.05807574595599,16.06176259086824,70.86707123789897
402,10.35,8.75,Heavy,30,Sad,60,8046,96.230262450096,22.63130931119643,33.118277019088346
705,10.35,5.75,Light,30,Neutral,58,11256,112.8630562115394,34.74900580974863,61.14358745449622
693,10.35,4.75,Light,20,Neutral,82,4765,82.26895409497975,16.060243310377004,36.246578963049984
816,10.35,7.5,Light,40,Happy,76,4120,113.2554878419312,24.78188589362324,33.466833659782
219,10.35,8.75,Skipped,15,Sad,61,8626,75.6878443172096,31.23058526235445,37.77089527696825
641,10.35,6.25,Light,40,Sad,56,10711,70.12756446257293,18.05197913957946,36.41261538568463
844,10.35,7.25,Protein-rich,65,Happy,63,4535,30.587431821312933,13.716568193827824,54.96923989078569
694,10.35,6.5,Light,85,Sad,69,6369,119.01088460868658,12.870920618480088,73.46032902772447
821,10.35,5.75,Protein-rich,35,Sad,83,4292,23.26590607844959,10.115800575115072,37.283096365345735
624,10.35,4.25,Light,25,Neutral,84,7258,96.05756424552824,25.4563692882574,59.15230555117954
752,10.35,6.0,Light,5,Sad,71,10891,54.39576865576856,25.692701326785446,45.78675419465057
684,10.35,6.5,Carb-rich,15,Happy,55,5824,114.71614629002478,33.23439972818964,89.26713121289325
386,10.35,9.25,Protein-rich,5,Sad,63,7575,105.80232710072292,17.050864314282663,35.27198994869
881,10.35,7.0,Carb-rich,80,Happy,58,6690,57.90404853830351,26.79731858996821,84.1057195281254
509,10.35,9.25,Heavy,60,Neutral,82,10088,63.974048650790856,28.142987709709,82.09627683079552
267,10.35,7.25,Heavy,25,Happy,67,5825,100.35376594626034,27.56210209967773,60.44806402565017
737,10.35,7.0,Protein-rich,70,Neutral,56,2289,54.2107620863594,30.41498598678943,39.14496079982504
441,10.35,7.25,Heavy,5,Sad,58,2234,35.620656868662195,34.66598946252938,57.75737740435898
496,10.35,6.5,Light,50,Neutral,74,6213,28.510348611978536,24.5914027962718,55.85325141970836
112,10.35,6.75,Carb-rich,85,Neutral,76,3819,113.27105081327612,33.242441308564324,86.64356038119679
232,10.35,6.0,Skipped,60,Happy,58,4567,80.56378893234114,24.422597115658977,34.86277295445888
779,10.35,4.75,Protein-rich,45,Neutral,79,7141,76.79742973160805,26.028690822132432,71.69706533414771
607,10.35,5.0,Carb-rich,40,Neutral,56,3932,107.06690341255177,19.10674652620189,62.01615280361271
671,10.35,5.5,Protein-rich,70,Neutral,65,3676,72.47356376614322,32.41913561566063,40.0808524646918
373,10.35,6.0,Carb-rich,45,Sad,77,7789,52.529061836174776,27.075169335408923,32.37712952090143
880,10.35,6.75,Heavy,20,Happy,82,9951,63.13017063410146,15.776869914701784,32.3055809377395
756,10.35,9.75,Skipped,80,Happy,68,8534,102.09810172991408,25.50181889821284,63.22813444274258
233,10.35,9.5,Skipped,60,Happy,83,3307,31.72039056802334,22.3129423454716,43.21099211698868
706,10.35,4.5,Protein-rich,85,Sad,80,6200,26.180846068922264,18.05884612436808,34.05675381553289
676,10.35,4.75,Heavy,30,Sad,71,9927,116.14923245741122,12.800972554201309,31.418315162780186
317,10.35,5.0,Heavy,90,Happy,67,10733,95.87153211639207,14.332358001771144,70.82995812448279
648,10.35,5.0,Carb-rich,55,Happy,56,7158,22.49716621170496,29.729280965183456,32.60475197128915
410,10.35,4.0,Carb-rich,65,Happy,70,3884,78.09503798881794,17.982840939760372,34.806890783080505
804,10.35,8.0,Light,55,Happy,68,3914,40.9059373706846,20.60326678255965,56.37070131797461
358,10.35,6.25,Skipped,30,Happy,79,3497,28.83849469845187,33.50575603562394,33.85253622450804
258,10.35,8.25,Protein-rich,65,Happy,67,7347,53.362839583686565,24.251529252234125,82.31061166471392
627,10.35,9.75,Carb-rich,20,Neutral,57,8102,62.99852141210597,28.68677345334392,48.43739789557719
632,10.35,5.0,Protein-rich,85,Neutral,74,2882,102.75530522740468,22.791936052891653,72.96904045339161
282,10.35,8.75,Heavy,10,Sad,79,9084,75.90592849466022,19.3895738159986,67.9573135880369
376,10.35,7.0,Protein-rich,35,Neutral,78,3556,102.5415664123948,31.121882774236365,44.522700951751645
384,10.35,6.75,Carb-rich,70,Happy,60,9241,94.81839120488463,28.376776095097146,49.58767849463951
224,10.35,9.75,Light,75,Happy,58,5170,90.21460961818296,16.630059192043134,69.3145188383413
853,10.35,8.25,Heavy,30,Sad,77,9032,102.7302149737246,32.45135723601784,44.472087455972485
732,10.35,5.0,Carb-rich,75,Neutral,81,2270,51.387807651502726,26.629930517405004,69.89470346923308
472,10.35,7.25,Light,60,Sad,70,10588,108.09730056396576,11.078997798764403,81.26310560217475
347,10.35,4.25,Carb-rich,65,Neutral,55,4130,46.95118622922726,11.132600244301113,31.951570769475115
505,10.35,8.75,Skipped,30,Sad,75,10016,34.72755635520909,14.065423483622284,58.47785254498884
639,10.35,8.75,Carb-rich,10,Sad,79,2929,111.06057172144216,19.432104077615566,61.50980302002361
886,10.35,6.5,Light,0,Happy,76,2112,71.40954425512598,26.31865269629687,68.20018093003245
830,10.35,5.0,Light,50,Happy,72,6287,61.76669958169947,15.61512057349955,48.3752172471967
809,10.35,7.5,Light,75,Neutral,58,2166,42.1238696446064,12.83095114601888,69.01206554388921
619,10.35,7.25,Protein-rich,10,Neutral,58,11467,40.754093620570345,28.70649225959146,85.6220726877784
766,10.35,4.0,Carb-rich,65,Sad,57,5240,77.68573811327002,29.061467143517262,42.51063086144015
645,10.35,6.75,Light,15,Sad,63,5423,63.81786132483445,32.263182018497375,59.01273880319548
759,10.35,5.0,Heavy,50,Sad,77,7634,109.83864665840348,29.71493028061327,56.83215243029014
556,10.35,4.5,Protein-rich,30,Sad,69,3102,39.516651721865045,13.350380711266018,71.37160506189366
857,10.35,7.25,Skipped,60,Sad,76,4240,107.9330215678474,21.80167362774998,59.27124263558174
577,10.35,4.0,Light,20,Neutral,60,7102,75.26622677767483,33.16469062903736,75.73710808659695
85,10.35,7.0,Protein-rich,50,Happy,71,11101,63.44033190066098,18.12958305066868,59.72947897237191
242,10.35,6.0,Light,75,Happy,58,5630,61.9271661166022,32.871609755511216,70.68096915354381
698,10.35,8.5,Protein-rich,45,Happy,74,5162,64.27981365437375,13.859067881855058,35.13949497578583
159,10.35,5.5,Skipped,20,Neutral,57,8980,88.51343098744842,28.20540871529649,67.6503277931022
524,10.35,9.0,Protein-rich,15,Sad,62,8091,106.465892185814,30.958217617778445,89.19780737753081
35,10.35,4.75,Carb-rich,70,Sad,57,2855,116.85373316998924,30.209933702911528,46.338439591162135
540,10.35,6.5,Heavy,60,Neutral,73,8516,50.64634680428203,33.85127568146806,88.19472276643623
170,10.35,6.5,Carb-rich,5,Sad,68,6458,50.779583168074566,26.93910904605706,47.778487227359406
654,10.35,7.5,Skipped,60,Happy,80,8217,80.83195000077717,20.791488655741983,43.68478631693595
768,10.35,4.75,Carb-rich,30,Neutral,73,3849,31.870909550911147,18.55204371789769,36.98198387312856
760,10.35,4.5,Protein-rich,20,Sad,76,10575,59.95187845869348,13.79187199331878,66.03566000163704
845,10.35,5.5,Skipped,45,Happy,58,6173,55.4897683486554,20.3656030931756,58.88064909811942
733,10.35,4.5,Heavy,55,Happy,81,4468,89.10558127392618,23.076635619227982,77.72699764738375
95,10.35,5.5,Skipped,30,Happy,63,8401,107.7470046654482,22.344889909109767,35.49492439959805
563,10.35,8.75,Skipped,70,Sad,82,2630,105.97946748116456,10.363616641697048,69.47071827618217
240,10.35,7.75,Heavy,40,Happy,77,10458,40.43163833989703,33.51146460882286,79.48085795550895
574,10.35,6.75,Carb-rich,70,Sad,72,10652,68.96244620502448,31.55909271866863,49.62198969379432
690,10.35,6.0,Light,50,Sad,57,5696,21.028449593569203,18.09198091010609,71.54616907946217
460,10.35,7.25,Light,65,Sad,71,5374,35.36910428442045,12.93815616942762,84.74180073700145
553,10.35,9.5,Carb-rich,20,Sad,62,4204,118.94511309650564,24.02344928838465,64.23658479832977
785,10.35,4.25,Protein-rich,45,Sad,78,6538,116.9723632797977,32.71126403334071,81.72086893635736
206,10.35,4.75,Protein-rich,50,Sad,83,9730,44.15368417016818,12.536788571650805,53.77452113415953
392,10.35,6.5,Skipped,40,Happy,72,11203,22.24258891620552,19.30045214481958,64.05245089569348
397,10.35,5.75,Carb-rich,75,Happy,58,9226,85.43420054927196,20.72485068437546,36.274070420064014
761,10.35,6.5,Protein-rich,70,Neutral,70,7810,52.679470585777736,17.793051694888707,60.94076566178987
217,10.35,9.75,Skipped,60,Neutral,76,3627,115.98628027134552,28.662285127950604,82.64765175782281
4,10.35,5.25,Heavy,55,Happy,80,6378,25.658565614671563,13.900466011060914,55.28547303554988
